Person_ID,Height_cm,Foot_Size_cm,Weight_kg,Age,Gender,Shoe_Size_US,BMI
1,150,22.5,52,25,F,5.5,23.1
2,155,23.0,55,28,F,6.0,22.9
3,158,23.5,58,22,F,6.5,23.2
4,160,24.0,60,30,F,7.0,23.4
5,162,24.2,62,27,F,7.0,23.6
6,165,24.8,65,24,F,7.5,23.9
7,168,25.0,68,29,F,8.0,24.1
8,170,25.5,70,26,F,8.5,24.2
9,172,25.8,72,23,F,8.5,24.3
10,175,26.0,75,31,F,9.0,24.5
11,178,26.5,78,27,F,9.5,24.6
12,180,27.0,80,25,F,10.0,24.7
13,182,27.2,82,28,F,10.0,24.8
14,185,27.5,85,26,F,10.5,24.8
15,188,28.0,88,29,F,11.0,24.9
16,190,28.5,90,24,F,11.5,24.9
17,192,28.8,93,27,F,11.5,25.2
18,195,29.0,95,30,F,12.0,25.0
19,198,29.5,98,26,F,12.5,25.0
20,200,30.0,100,28,F,13.0,25.0
21,152,22.8,53,29,F,5.5,22.9
22,157,23.4,56,24,F,6.0,22.7
23,163,24.5,61,26,F,7.0,23.0
24,167,25.1,66,28,F,7.5,23.7
25,173,26.0,72,25,F,8.5,24.1
26,176,26.3,76,27,F,9.0,24.5
27,181,27.1,81,29,F,9.5,24.7
28,186,27.8,86,24,F,10.5,24.9
29,191,28.6,92,26,F,11.0,25.2
30,196,29.2,97,28,F,12.0,25.3
31,148,22.0,50,30,F,5.0,22.8
32,153,22.8,54,27,F,5.5,23.1
33,156,23.2,57,25,F,6.0,23.4
34,159,23.8,59,28,F,6.5,23.3
35,161,24.1,61,24,F,7.0,23.5
36,164,24.6,64,26,F,7.0,23.8
37,166,24.9,66,29,F,7.5,24.0
38,169,25.3,69,27,F,8.0,24.2
39,171,25.6,71,25,F,8.5,24.3
40,174,25.9,74,28,F,8.5,24.4
41,176,26.2,76,26,F,9.0,24.5
42,179,26.7,79,24,F,9.5,24.7
43,181,27.0,81,27,F,9.5,24.7
44,184,27.4,84,29,F,10.0,24.8
45,187,27.9,87,26,F,10.5,24.9
46,189,28.3,90,28,F,11.0,25.2
47,193,28.9,94,25,F,11.5,25.2
48,194,29.1,96,27,F,11.5,25.5
49,197,29.4,98,26,F,12.0,25.3
50,199,29.8,100,28,F,12.5,25.3
51,151,22.3,52,26,M,5.5,22.8
52,154,22.9,56,28,M,6.0,23.6
53,158,23.5,60,25,M,6.5,24.0
54,160,24.0,63,27,M,7.0,24.6
55,162,24.2,65,29,M,7.0,24.8
56,165,24.8,68,24,M,7.5,25.0
57,168,25.0,71,26,M,8.0,25.2
58,170,25.5,74,28,M,8.5,25.6
59,172,25.8,77,25,M,8.5,26.0
60,175,26.0,80,27,M,9.0,26.1
61,178,26.5,83,29,M,9.5,26.2
62,180,27.0,86,24,M,10.0,26.5
63,182,27.2,89,26,M,10.0,26.9
64,185,27.5,92,28,M,10.5,26.9
65,188,28.0,95,25,M,11.0,26.9
66,190,28.5,98,27,M,11.5,27.1
67,192,28.8,101,29,M,11.5,27.4
68,195,29.0,104,26,M,12.0,27.4
69,198,29.5,107,28,M,12.5,27.3
70,200,30.0,110,25,M,13.0,27.5
71,149,22.2,51,30,M,5.0,23.0
72,155,23.0,57,26,M,6.0,23.7
73,159,23.7,61,28,M,6.5,24.1
74,162,24.3,64,25,M,7.0,24.4
75,164,24.6,67,27,M,7.0,24.9
76,167,25.0,70,29,M,7.5,25.1
77,169,25.3,73,24,M,8.0,25.6
78,171,25.6,76,26,M,8.5,26.0
79,174,25.9,79,28,M,8.5,26.1
80,177,26.3,82,25,M,9.0,26.2
81,179,26.7,85,27,M,9.5,26.5
82,182,27.1,88,29,M,10.0,26.6
83,184,27.4,91,26,M,10.0,26.9
84,187,27.9,94,28,M,10.5,26.9
85,189,28.3,97,25,M,11.0,27.2
86,192,28.7,100,27,M,11.5,27.1
87,194,29.0,103,29,M,11.5,27.4
88,196,29.3,106,26,M,12.0,27.6
89,199,29.7,109,28,M,12.5,27.5
90,201,30.2,112,27,M,13.0,27.7
91,147,21.8,49,31,F,5.0,22.7
92,152,22.6,53,26,F,5.5,22.9
93,156,23.1,56,28,F,6.0,23.0
94,159,23.7,60,25,F,6.5,23.7
95,162,24.2,63,27,F,7.0,24.0
96,165,24.7,66,29,F,7.5,24.2
97,168,25.1,69,24,F,8.0,24.4
98,171,25.5,72,26,F,8.5,24.6
99,174,25.8,75,28,F,8.5,24.8
100,176,26.1,78,25,F,9.0,25.2
101,179,26.6,81,27,F,9.5,25.3
102,182,27.0,84,29,F,10.0,25.4
103,184,27.3,87,26,F,10.0,25.7
104,187,27.8,90,28,F,10.5,25.7
105,189,28.2,93,25,F,11.0,26.0
106,192,28.6,96,27,F,11.5,26.0
107,194,28.9,99,29,F,11.5,26.3
108,197,29.3,102,26,F,12.0,26.3
109,200,29.7,105,28,F,12.5,26.3
110,203,30.1,108,27,F,13.0,26.2
111,153,22.7,54,29,M,5.5,23.1
112,156,23.2,58,26,M,6.0,23.8
113,159,23.8,62,28,M,6.5,24.5
114,162,24.3,66,25,M,7.0,25.1
115,165,24.7,70,27,M,7.5,25.7
116,168,25.0,74,29,M,8.0,26.2
117,171,25.4,78,24,M,8.5,26.7
118,174,25.8,82,26,M,8.5,27.1
119,177,26.2,86,28,M,9.0,27.5
120,180,26.6,90,25,M,9.5,27.8
121,183,27.0,94,27,M,10.0,28.1
122,186,27.5,98,29,M,10.5,28.3
123,188,27.9,102,26,M,11.0,28.9
124,191,28.3,106,28,M,11.5,29.1
125,194,28.7,110,25,M,11.5,29.2
126,197,29.1,114,27,M,12.0,29.4
127,200,29.5,118,29,M,12.5,29.5
128,203,29.9,122,26,M,13.0,29.6
129,151,22.4,52,30,F,5.5,22.8
130,154,22.9,56,27,F,6.0,23.6
131,157,23.4,60,25,F,6.0,24.3
132,160,23.9,64,28,F,7.0,25.0
133,163,24.4,68,26,F,7.0,25.6
134,166,24.8,72,29,F,7.5,26.1
135,169,25.2,76,27,F,8.0,26.6
136,172,25.6,80,25,F,8.5,27.0
137,175,26.0,84,28,F,9.0,27.4
138,178,26.4,88,26,F,9.5,27.8
139,181,26.8,92,24,F,9.5,28.1
140,184,27.2,96,27,F,10.0,28.4
141,187,27.6,100,29,F,10.5,28.6
142,190,28.0,104,26,F,11.0,28.8
143,193,28.4,108,28,F,11.5,29.0
144,196,28.8,112,25,F,12.0,29.2
145,199,29.2,116,27,F,12.5,29.3
146,202,29.6,120,29,F,13.0,29.4
147,148,21.9,48,28,M,5.0,21.9
148,152,22.5,53,25,M,5.5,22.9
149,155,23.0,57,27,M,6.0,23.7
150,158,23.5,61,29,M,6.5,24.4
151,161,24.0,65,26,M,7.0,25.1
152,164,24.5,69,28,M,7.0,25.7
153,167,25.0,73,25,M,7.5,26.2
154,170,25.5,77,27,M,8.5,26.6
155,173,25.9,81,29,M,8.5,27.1
156,176,26.3,85,26,M,9.0,27.4
157,179,26.7,89,28,M,9.5,27.8
158,182,27.1,93,25,M,10.0,28.1
159,185,27.5,97,27,M,10.5,28.3
160,188,27.9,101,29,M,11.0,28.6
161,191,28.3,105,26,M,11.5,28.8
162,194,28.7,109,28,M,11.5,29.0
163,197,29.1,113,25,M,12.0,29.1
164,200,29.5,117,27,M,12.5,29.3
165,203,29.9,121,29,M,13.0,29.4
166,146,21.6,47,30,F,5.0,22.0
167,149,22.0,50,27,F,5.0,22.5
168,152,22.5,54,25,F,5.5,23.4
169,155,23.0,58,28,F,6.0,24.1
170,158,23.5,62,26,F,6.5,24.8
171,161,24.0,66,29,F,7.0,25.5
172,164,24.5,70,27,F,7.0,26.0
173,167,25.0,74,25,F,7.5,26.5
174,170,25.5,78,28,F,8.5,27.0
175,173,25.9,82,26,F,8.5,27.4
176,176,26.3,86,24,F,9.0,27.8
177,179,26.7,90,27,F,9.5,28.1
178,182,27.1,94,29,F,10.0,28.4
179,185,27.5,98,26,F,10.5,28.6
180,188,27.9,102,28,F,11.0,28.9
181,191,28.3,106,25,F,11.5,29.1
182,194,28.7,110,27,F,11.5,29.2
183,197,29.1,114,29,F,12.0,29.4
184,200,29.5,118,26,F,12.5,29.5
185,203,29.9,122,28,F,13.0,29.6
186,149,22.1,50,29,M,5.0,22.5
187,153,22.7,55,26,M,5.5,23.5
188,156,23.2,59,28,M,6.0,24.2
189,159,23.7,63,25,M,6.5,24.9
190,162,24.2,67,27,M,7.0,25.5
191,165,24.7,71,29,M,7.5,26.1
192,168,25.2,75,24,M,8.0,26.6
193,171,25.6,79,26,M,8.5,27.0
194,174,26.0,83,28,M,8.5,27.4
195,177,26.4,87,25,M,9.0,27.8
196,180,26.8,91,27,M,9.5,28.1
197,183,27.2,95,29,M,10.0,28.4
198,186,27.6,99,26,M,10.5,28.6
199,189,28.0,103,28,M,11.0,28.8
200,192,28.4,107,25,M,11.5,29.0
201,195,28.8,111,27,M,12.0,29.2
202,198,29.2,115,29,M,12.5,29.3
203,201,29.6,119,26,M,13.0,29.5
